GENE,COEFFICIENT
MIPOL1,23.536697802526543
AURKB,23.011981610371556
LY6D,-22.891822645682367
PGAP3,22.80510334878613
MEOX1,20.900440969709265
PSAT1,20.402023481936823
ALDH1A3,-20.003297908243596
RASA4,-18.346472231511907
PREX1,-17.18471395195507
CDK18,-17.136475588453862
NUDT4,-16.350068729179224
CTSO,15.928973555650103
LMNB1,15.741628153680367
DZIP1,15.43073791603049
CPEB4,-15.41396464496668
MMP28,-14.998221060649223
KCNG1,14.941407226545321
PSME4,14.764304187136187
CCNB2,-14.605127998154472
MKI67,-14.401768315889708
C3orf67,14.390337073323085
KLHDC1,-13.96790603485954
RABEP1,-13.953217982125022
PKP1,13.908697442870169
ATAD2,13.796604093862689
N4BP2L1,-13.793684238883948
3-Sep,-13.57690237273195
PTPRZ1,13.556520132910874
SIRPA,-13.49809918308506
DNM3,13.42588600323115
ARHGAP11A,-13.288177169850822
CDK2,13.286627132512459
DSCC1,12.912318510472545
KIAA1324L,-12.85923916118152
GPM6B,12.815530495468268
MSX2,-12.591617185805696
C1orf112,-12.546244207452256
GSDMC,-12.514465863972182
RYR1,-12.418884226904202
RUNX1,12.26129721523181
FANCE,12.241283252997787
FGFR3,12.223948687725105
NDC80,-12.170849815216117
ENO1,12.09652173265692
CSRP2,-11.992397388813115
RHBDF2,11.908881774466115
TSPAN13,-11.908003624493583
C9orf152,11.906132976566365
TSPAN8,-11.781886988896224
SPRY2,-11.617960517483397
UBE2T,11.45519664534234
PLK1,-11.3683594922082
RASSF4,11.350490026157479
STC2,-11.320436779361515
GLIPR2,-11.249450529075393
DIAPH3,11.178537317531555
NTRK2,-11.176016767689061
GREB1,11.119459061484998
CDC6,-11.08548961777482
SERHL2,-10.975679484686207
YWHAZ,-10.892635656839307
OVGP1,10.785390036401393
C16orf71,-10.67709008038304
SLC15A2,-10.643935665870503
TTC6,10.402634188004084
CCNE2,10.237071502112789
TBC1D9,10.227295851705817
DBNDD2,10.225343373713914
BCAS1,-10.207576351669875
SPC25,-10.181471138978111
ZMAT1,10.119919436360313
GMPS,-10.077428104045175
LDHB,10.06668741722101
ROR2,10.032050954607056
ORC6,-10.02362156636742
UBXN10,-9.99020204732874
FUT8,-9.858831295665873
IGSF9B,9.819484315528268
COL14A1,9.699149053930519
TCP11L1,-9.608209963818087
WFS1,9.556814770693995
PAX9,9.467934178892289
DLG5,9.415783586912243
CDCA7,9.212875786973932
RAB11FIP3,-9.144989492058743
FAM171A1,-8.996007324505399
SOSTDC1,-8.966459914040207
AGR2,-8.950701113157288
NUSAP1,-8.876490546963131
