GENE,COEFFICIENT
MIPOL1,-26.50008073867947
ANGPTL4,-19.45697743545903
MMP28,19.234056688600944
KIF14,-16.752721228278418
RTN4RL1,16.1010721919311
AURKB,-14.402663811486528
RRM2,-12.72646759465645
E2F8,-12.265567373955696
COL14A1,-11.71583865397239
CCDC74A,-11.663994041478619
TMPRSS2,11.611901909734419
CDC20,11.478246775067268
PMAIP1,-10.550836402680593
PRODH,10.52429788329209
C1orf112,10.394420045140302
POLQ,10.31686442656154
FAM89A,9.854705824760536
3-Sep,9.6079414083766
GLIPR2,-9.278689355416457
CHEK1,-9.16796866577195
NEIL1,-9.110550168668695
PHYHD1,-9.066686763589123
CA9,9.028826550767043
DLG5,-9.02149809691485
ELOVL2,-8.841894495119757
SKP2,8.824197115721393
AFF3,8.751756323325546
CSRP2,8.59849170535692
KIF2C,-8.527710778335779
CDK12,-8.29532969002925
PRRT3,-8.286664373203417
CDCA7,8.268031299675785
RGS11,8.197915190245828
CYP39A1,8.128464278503174
DACT3,-8.116492417154147
XBP1,-8.022914771573548
NTRK2,-7.951527456694281
BCAS4,-7.792629438792083
TSPAN13,-7.792186361565388
MEOX1,-7.7492965047633415
NRN1,7.658460697710191
NOSTRIN,7.647798109335643
LIMA1,7.6125151592526565
SERPINB5,7.607169953577497
F10,-7.5122606643536995
NCAPG2,7.3555636247418805
STC2,-7.178984813517629
IQGAP2,-7.125170529138883
TFDP1,6.9826574160897215
CABIN1,6.93051831032491
MYBL2,-6.855195776334375
S100A2,-6.823541867859646
C9orf116,6.77393565821722
CDCA3,6.762405143131584
EPHB3,-6.756348637797067
OGN,6.755328393625433
MKI67,6.733219089829157
ADCY4,6.663406288979775
SLC15A2,6.5724713692951084
SOX13,6.460779725947202
DIO2,6.426150058259563
PSAT1,-6.374101088406336
KRT16,6.331494015681596
FGFR3,-6.205760469720499
ARSG,-6.132179341377475
UBXN10,6.024270243581785
LYPD6,6.013660575496885
CDC45,5.988517079578798
EPN3,5.963529317394178
CDCA8,-5.9521791198461464
NCOA7,5.904897765172704
ALDH1A3,-5.887474967094209
UCK2,5.852211592441096
BLM,5.728419916583007
C3orf67,5.69640907745279
RUNX1,-5.693503653514139
PINK1,5.635332297200677
L3MBTL4,-5.487600955821584
GBP5,-5.486604579148719
ROR2,5.47632623370436
CDC6,5.468990021234764
AKR1C3,5.397511090150658
SHCBP1,-5.3468726382566105
CYYR1,5.33048995400968
RASL11A,-5.322936477568494
ERGIC1,5.2819660491839695
BUB1,5.16963967625769
HES6,5.16812190652872
TGFA,5.152248380994059
WDR76,-5.132964755011985
DALRD3,5.132399588011921
MYH11,5.128678123915564
TCP11L1,5.1079512386376225
GRB7,5.104573338836835
RACGAP1,5.082813874403669
FANCA,5.0687004479101505
NUF2,-5.035147030428886
CNTNAP3B,5.030843938921126
IL17RD,4.97113129186972
DGKD,4.950531618936525
DBNDD2,4.946604431036774
CTSO,4.923837120195784
CAV1,4.920540148167075
CAPN13,-4.916298467663577
LRRC56,-4.9115566493044325
TOM1L2,4.902358353129956
PHOSPHO2,4.881659737824615
B3GNT3,-4.880095016613232
ZMAT1,4.871169352380442
PSME4,-4.869117149314865
PCSK4,-4.862508787124128
ATAD2,-4.852608881368504
ULBP3,-4.796598974664324
MNX1,-4.746783633869889
NUP155,4.708356236783427
PRKX,4.632078179910944
GINS1,-4.596297394678544
PRR15,-4.576626129025287
ELOVL5,-4.563723627184657
TRPM4,4.563423663793558
UGT8,4.556656200889488
MLPH,4.533285747464956
TMPO,-4.527964926309313
YWHAZ,4.511591625714332
DHRS2,4.493015014494783
NDC80,4.442887936904295
PKP1,-4.4404313293490265
WDR86,-4.384434253047465
KCNK5,-4.346792812056887
ZMYND10,-4.32679714789413
IVD,-4.3107480161963325
ARHGAP39,-4.305382090809937
ITPR1,4.196473582044184
ITGB8,-4.185295371092005
HLA-DPA1,4.1601772073882115
ERBB2,4.1462207481557245
ECE2,-4.142418697998293
RND1,-4.109871912903596
CDK2,-4.066163979088452
DDC,-4.065970569483894
CHST2,-4.032781882260919
ZFP36,4.015132715697526
PTK7,-4.01025390659754
PPIL1,3.9935304071232354
CHST3,-3.9870326564533802
IGF2R,3.9690776490248085
WDR77,-3.941542793627258
NCAPH,3.9090439912529438
MCM10,3.8726572084674795
ACAT2,-3.8305115522916697
ST3GAL3,-3.8182970604749347
MAPT,-3.77403470707987
TTYH1,-3.7676086239129583
TMCC2,3.73258758709121
TTK,-3.7245759232513316
FBXO15,-3.680252184728635
FERMT1,3.680077773871002
NUDT4,-3.671247433298837
SELP,3.666911801945243
CENPE,3.632376225243185
EPB41L5,-3.6184534303862677
IGSF9B,-3.6069062582831832
KDM4B,-3.6041113354214223
ENO1,-3.5883047433083157
PLK4,-3.5742350027404695
TP53INP2,-3.548755114789781
KPNA2,3.5487453224686982
TTYH3,3.467148323888579
EPHA2,-3.4563861912277134
UBE2C,-3.4542146307588704
CDC25B,-3.4525085952221435
ELOVL6,-3.425291056785486
ZDHHC3,3.409058843245105
RSPH1,3.4020054978205567
ADAMTS15,3.3969445154128595
PSMD12,3.3662074393818093
CBLC,-3.3619129581472293
SLC25A13,3.3534573156630185
TPI1,3.350507731794509
FBLIM1,3.3405075045183255
TTLL7,3.3295511728301492
ESF1,3.276673827018236
ADCY9,3.274371679439438
PREX1,-3.2582766430330046
KLHDC1,3.2476021736965754
SPRY2,-3.237882064128729
C12orf76,3.1906960695605093
EXOC6,-3.17612170539228
ZNF568,-3.1741225291238013
NAT1,3.174117741271566
REEP6,3.1621109360104622
PIWIL4,-3.1569762138457804
GSTP1,-3.1460075967756778
FXYD1,-3.1413495346461406
ALDH3B2,3.1361835123370785
