GENE,COEFFICIENT
ALDH1A3,11.729098968784012
CHEK1,-10.4721745153147
GPM6B,-10.369782937171488
CCNA2,-10.018473675897464
KIF14,-9.761861708201709
SOX13,-8.807628208046749
RARA,-8.783148543041895
GABRP,-8.31368210458357
TRIM29,-7.8493615122050695
NDC80,7.845490805050676
NTRK2,7.779194626694977
CDCA8,7.741554505306907
RTN4RL1,-7.130429438655801
MAGED2,7.061710406404583
TNXB,-6.933683267315243
CCNB2,6.7290459356957575
INPP4B,-6.696648785100085
PRKX,-6.548662618792135
INPP5J,6.478630891510741
TP53INP2,-6.473816404243037
KNTC1,6.308295172766862
NAT1,6.1528228904819535
KCNG1,-5.8211412173412835
LY6D,5.7926327806312665
SERPINA3,5.561311648108019
EXO1,-5.497454795579616
AFF3,-5.464908523050106
CCT5,-5.443806798206264
TONSL,5.42150230245393
MSX2,5.3555151693695136
THSD4,-5.297907591372946
PRODH,-5.175935640574414
SPEF2,-5.153533262008092
FXYD1,-5.1434010236450565
MAPT,5.136579257673793
KLK6,5.049953605660487
CAPN13,5.033459201095128
CHST2,-4.926287207212712
KCNK5,4.913927648134719
DSCC1,-4.706772839425125
SELP,-4.681353304483981
RND1,-4.614570556540868
STC2,4.610834821131194
GBP5,4.606172327225351
MEIS2,4.603430270979621
MMP28,-4.552992727604743
AKR1E2,4.5492169694108995
SLC27A1,-4.54104196939013
EPN3,-4.491891285899631
CH25H,4.411558800781575
PSAT1,-4.339037045604775
RASL11A,4.32060255811472
RGS11,-4.285192551575627
GPD1L,-4.17174515577639
WDR77,4.133575805739526
FAM72D,-4.1298623834260795
SOSTDC1,-4.083882998199777
ITPR1,-4.056595761924629
SUSD3,4.0475308628678075
FGD3,-4.040733651626194
ULBP3,3.971340244842254
KDM4B,3.9686781512305425
CCDC24,-3.954233497725775
CA9,-3.948071096079458
ENO1,-3.9428908114805026
CDK12,-3.9355846913372963
SPRY2,3.9129898944927133
NCOA7,3.8994734566728426
HLTF,-3.856769808540578
AKR1C3,-3.8388456628135006
MARVELD2,3.8298478988334583
HSPB6,-3.81085192209683
KLK8,3.8017737184494034
CDC45,3.779512466168827
RUNX1,-3.7368991938526572
OGN,-3.692382932909314
PREX1,3.6899665494207055
ECE2,-3.679712409263609
TCP11L1,-3.662729990173424
FADS1,-3.649540747768343
CENPE,-3.6467780305920003
HEY1,3.633147636570782
DNALI1,-3.575886162012136
C16orf45,3.5559947925086917
DNMT3B,-3.532498448188734
BCAS4,-3.4858538581443055
TPCN1,3.4663257159192304
CDK18,3.4623246011157813
GMPS,3.4397398506663897
KRT16,-3.3908905898228823
F10,-3.3527522950444784
FBXL5,3.348770799598273
KIAA0040,-3.344263507664882
CENPW,-3.343544793384288
ERRFI1,3.305946032714258
KIF18B,-3.284697306744528
KCNK15,-3.279459672727221
DGKD,3.265367844057968
FBLIM1,3.2621809923345757
RHOB,-3.1708504902900514
TMEM88,-3.161858707629892
CMBL,3.1578343036094547
CBLC,3.1564397902922097
NEIL1,-3.1557930645436008
PARP11,3.1041190534016043
SPC25,-3.0778080675158783
PHYHD1,-3.0774420816614447
CEACAM5,-3.0265381727371516
GLIPR2,-3.018992747985952
PMAIP1,-3.006157349012431
DIAPH3,-3.0052633500566373
UBE2C,3.0050783203596483
CYB5A,3.0049917764754333
ERBB2,-2.999425898992763
KIF18A,2.995974574311877
PAIP2,2.993778619450961
IFT80,2.9880702814418285
L3MBTL4,-2.986690116289497
KIF20A,2.9857351051049834
TBC1D9,2.9721819297494876
AURKB,-2.969638687603022
ST3GAL3,-2.9312632397375
XBP1,2.9307395679983674
TROAP,-2.9255024402789145
C12orf76,-2.9224137779237918
TMPRSS2,2.9190764363163137
TTC39A,2.905599738841159
CENPA,-2.8904873881729127
CDCA7,2.860688093051927
WDR76,2.856419941944339
PSME4,2.8516242428054603
SLC22A5,2.842858661645263
STMN1,2.838100713382149
TTYH1,2.8338755504100877
SHC2,-2.826826993608241
N4BP2L1,2.824379565124902
CAV1,-2.8201583843981997
LASP1,2.795321576427301
C1orf112,2.7725787820022565
REEP6,2.768281505262428
ADCY4,-2.7500857654785977
KIAA1324L,2.7079662134887346
UCK2,2.6916893504132506
FGFR3,2.680851658178489
PRR15,2.660716976947
MYBL2,-2.658893180157969
FOXA1,-2.642105997344367
TOP2A,2.634362708754375
AGR3,2.6294866117576143
ARHGAP11A,2.6240690436502416
CLSPN,2.6236761874633823
WFS1,2.6117677145627227
CDKN3,2.5935309991596074
ME1,2.5918838495353893
TGFB3,2.565167210465203
GSTP1,-2.5514857670257176
PAK1IP1,2.516305364786108
PTK7,-2.513102474279375
LEMD1,2.50710609948039
TTK,2.5056654338344364
IQGAP2,-2.4996461805837606
C16orf71,-2.49213610817072
TSPAN8,-2.4869888728128227
PM20D2,-2.4750140031353722
S100A2,2.469897860084595
GTSE1,2.466921275855202
ESR1,-2.444980520279276
TYMS,2.419900054530363
SALL2,2.4129725350561033
NCAPG2,2.409829472826897
ABHD6,-2.395170860613131
KIF15,2.3764696377036865
DBNDD2,2.3578614603749504
CDC25A,2.339425502993043
BMPR1B,2.32373710038291
RASA4,-2.317318056244303
APP,2.3140962040778836
IL17RD,2.2978209096297957
PAX9,-2.2961886499179363
MYB,-2.2836325217396234
DHRS2,-2.2748760196375244
C9orf152,2.271316155770224
SLC7A5,-2.245841373124869
ELOVL5,2.2447290526305923
OIP5,2.2444958033803566
CNTNAP3B,2.222912570231386
RGMA,2.22041776160291
PRRT2,2.2176000888169853
XPOT,-2.2134525390161124
YWHAZ,-2.2027094996721335
KCNJ11,-2.1987770394500123
RYR1,-2.189544292594827
UGT8,-2.152779969986896
CYP4B1,2.149416492700394
BLM,2.148218705448483
FANCE,2.141734367444933
DYNLRB2,-2.135849227678417
KRT14,2.1290748059960434
RACGAP1,2.125733072352691
C20orf96,-2.1198317154699793
SKA2,2.1060423037961353
LIMA1,2.0941145687938896
SPAG5,-2.0800125742278306
KIF11,-2.071811475739204
MCM10,-2.062489477228291
ZMAT1,2.047968810084279
MLPH,-2.0398385268775754
AURKA,-2.0372068329950848
TRPM4,2.0329823865710677
DNM3,2.0268031084986347
C2orf40,2.024745013573462
IQGAP3,2.019583797961949
ARHGAP11B,-2.019386051786206
AGR2,2.0190831708901693
TRPV6,2.0091081238715467
NOSTRIN,2.0061593428100424
IGF2BP2,1.9878338910512725
C9orf116,-1.9846009892448055
CHRNA5,-1.9746274387517362
RPS4X,-1.974415931325019
TRPM2,1.9701727378371976
NUDCD1,1.9664761619869247
KPNA2,-1.9520280037739541
H2AFZ,1.9345455652376176
GAMT,-1.9201754356910254
BCAS1,-1.901161613076052
ABAT,-1.8949706805903093
CYYR1,1.8924925772367704
MZT1,1.887488140346023
TCEAL7,-1.8861806543018163
MELK,1.8822165274815728
SERPINB5,1.8806351700110593
DBF4,1.8753412522754065
RHBDF2,1.86484418391222
RAD51,1.85093335520506
RASSF4,1.8472423518340946
TUBA1B,1.8458579806509035
EME1,-1.8444047681978808
NUSAP1,-1.8436866808599974
DIO2,1.8417511505147792
NCAPG,-1.8384579169080326
DDC,1.8274479955071263
CHST3,1.8246384989533504
MAD2L1,1.8205228845043642
NUDT8,1.8145728708728222
GINS1,-1.806270835157305
SKP2,1.80418849868032
AARS,1.796299290101143
MIPOL1,-1.7911578317333807
RABEP1,1.7846797739838394
PLK4,1.7813499217628574
DEPDC1B,-1.773605395529728
CENPI,1.7691548115176305
RCC2,1.7362348434133505
PROM1,1.7276234020048067
DALRD3,1.7195344397016536
ELOVL2,-1.7150574729377435
B3GNT3,-1.7098068651206435
CLSTN2,1.699440420154458
DLG5,-1.6750434847436297
PERP,1.6670684932992894
PSMG1,-1.6649592093962522
KIF2C,-1.6648455947859155
CSRP2,-1.6569741812194563
SHCBP1,1.6497653743903067
SREBF2,-1.6492130666276363
KIF3A,1.6361587717583983
MCM2,-1.6287239136444729
TMCC2,1.6277912064284406
UCP2,-1.6242967807796167
ALDH3B2,1.6071869505703806
HES6,-1.598258554414881
UBXN10,1.5965516112844633
HLA-DPA1,-1.5901585517262593
SLC7A8,1.5829444816254814
ANXA9,-1.5423956435906236
ABL1,1.5265960150553555
E2F8,1.52111752116463
SLC19A2,-1.5202754974531651
AR,1.5070425850843518
SCCPDH,1.5050105693682265
ANXA8,-1.491258057946646
RAB11FIP3,-1.4845215823549718
PPIL1,-1.4830401377778426
FAM72A,1.4593012224033886
DCAF13,1.452905749467556
ZDHHC3,1.4433087722134743
TRIM3,-1.4325369472559866
ZFP36,1.421069147435578
NUDT4,1.4064577758566803
ITGB8,-1.4032868435690349
BBOX1,1.4032393745615213
CCNE2,-1.4006125685538657
NUP155,-1.3923573769040778
MAGEE1,1.3898408767908388
DACT3,-1.3892337097484802
ROR2,1.385185787926707
NEK2,1.3822379424507707
SIDT1,1.3763921503979808
CENPH,1.3664994878869674
TSPAN13,1.3664099036119348
WDR66,1.3562612995150343
IVD,1.3544559653263062
FAM83D,1.352823055183593
ORC6,1.3191864709134318
BIRC5,1.3159767322286082
PIWIL4,1.3050404812292675
NCAPH,1.2906824004961368
ATP6V1C2,-1.288317054240043
CYP39A1,-1.2866397079292171
RSPH1,1.2825039623363494
CHRD,1.272933816514339
CXCL1,-1.260801496107036
HMMR,-1.2602544298828837
GRB7,1.2581382621017203
GLUD1,1.2566444717751708
ADAMTS15,1.2413398088664516
MYH11,-1.2407856855940975
IGF2R,-1.231616337423888
DMXL1,1.2255035926775126
RTN4R,1.2234796899988
RRM2,-1.2230490991238996
IL34,1.2209608458007046
CA12,-1.218880451084613
MCM4,1.216774290191401
GADD45B,1.2099512888061938
OSR1,-1.2077989437541516
ADCY9,-1.196727154159956
ELOVL6,-1.1886311270700516
FUT8,-1.1724031054397905
POLQ,1.171657453960476
UBE2T,-1.167669142199719
ZWINT,-1.160906981085996
ASPM,1.1384025102339905
ARHGAP39,-1.1288081561989514
TTYH3,-1.1221488148132714
E2F1,1.1120198299069468
SEL1L3,-1.109853101363296
UBASH3B,1.1024582680177557
PLK1,1.0926716447962146
MNX1,-1.065632667913226
OVGP1,1.063970642419817
CXXC5,-1.0468658941769544
CARD10,-1.0402411733283814
ZBTB4,1.0324024839698498
CDC25B,1.0318551577860868
LYPD6,1.0113165447215013
SLC25A35,-1.0057607122080292
RIN3,-1.003340120645567
ZNF883,1.002279882372022
MICAL3,0.9994108968913601
FASN,-0.9890611399455316
AZIN1,0.9880488199854661
TSPAN1,-0.9813637610362388
FAM20A,0.9804553854909593
FERMT1,0.9750397737252301
PTPRZ1,0.970024067776542
ATAD2,-0.968196096007404
PRR11,-0.9673136303120003
C3orf67,0.9633930609268859
TIMELESS,-0.962940957919388
FSCN1,-0.9629031087328918
SFRP1,-0.9548407990690972
PPP1R14C,0.9544217666297917
TTLL7,0.9526924686853515
B3GNT5,0.952430000897361
CABIN1,0.9477780915903409
PRELP,-0.9359514281839053
ABLIM3,0.9314089876742238
TPI1,0.9285823307553347
TPRN,-0.9097932927857892
BUB1,0.9058612795986131
KRT5,0.8956456774939112
SERHL2,-0.8821323014771785
DZIP1,0.8789924104973729
FOXC1,0.8782078040550491
ANGPTL4,0.865755531143984
PSMD12,-0.8616622164513151
PCSK4,-0.8611719100112312
LMNB1,0.8580592924385759
PKP1,0.8578976193279066
ARL4C,0.8515580240977283
KRT17,-0.8457136152484511
SIRPA,0.8340691381769714
ORC1,0.808628570331524
FAM89A,0.8052162508910118
3-Sep,0.7871337512442439
ACOX2,0.7797667333989045
IGSF9B,-0.7622865612507792
CPEB4,-0.7522762328691665
LAMC2,0.7469982195517538
TSPAN15,-0.7403470306022307
CCDC74A,-0.7402218189672982
F3,-0.738972125898727
CDCA3,0.7375962779922993
TLCD1,0.7369097882049732
TRIM2,0.7351128365389966
FANCA,0.7156292509730471
ZNF703,-0.7059470059022006
AKR7A3,-0.6989700378042716
SLC44A4,-0.6953110145003887
MKI67,-0.6912712125837112
ESF1,0.6788941461004165
FAM171A1,0.6664946491798619
CHEK2,-0.6629756566987908
LRRC56,0.6597508327280992
TGFA,-0.6440714319077829
FCGR3B,0.6411945537924357
ARSG,-0.6395548957896634
KLHDC1,0.6365324271270878
ACAT2,-0.6363117411094381
DLGAP5,0.6181406043754856
EPB41L5,0.6180386533456357
BCL11A,0.6161332763864547
ADAMTSL5,-0.6141205854695092
COL14A1,-0.6011069284369072
PHOSPHO2,0.595707762669417
TMPO,0.5936819740165916
ZNF568,0.5922668844561675
SLC39A6,0.5885616547503595
CCDC74B,0.5873524422450696
ZNF516,0.5668358013677365
ATP7B,0.5623699055634364
ACACB,0.5610091295800447
FAM102A,0.5595845430682238
LRIG1,-0.5508939145885386
CX3CR1,-0.5494044577615559
EXOC6,-0.541866231324143
CELSR1,-0.5029129306511243
ZNF367,-0.48612674880535417
CDK1,-0.4605506710078294
CEP55,-0.4582520775510507
ERGIC1,-0.4390293189356341
SPDEF,-0.4374215243849961
GATA3,-0.433309485486266
IGF1R,-0.4321400390934381
CRYM,0.42078578956703855
TPX2,-0.4167442312442825
BCAM,-0.40140684639181057
CCDC103,-0.383800867108595
PINK1,-0.38333818784219137
LCMT2,-0.37786814521046036
ASAP2,0.37685666128072687
CDC6,-0.3756861638436349
SNRPG,0.37511566358987963
MAP3K12,0.3581079109453694
FBXO36,-0.33938957467906267
TTC6,-0.3348103800136499
GFRA1,-0.32977155956539406
ZMYND8,-0.32594864193708084
RALGPS2,-0.31158522873778016
LPIN1,0.31079020969229443
ENPP1,0.30553610209963694
PALM,-0.298836737483457
GSDMC,-0.2907209904607517
COL7A1,0.28111971364723176
CDC20,-0.28066911441844195
NUF2,0.27856961174470174
LDHB,0.2704634887634049
SLC25A13,0.26167795516067976
FBXO5,0.2592563917753652
ZMYND10,-0.25440211804099744
AQP7,-0.251758643596166
CYCS,0.24977549773869945
PADI2,0.2496989766021695
WDR86,0.24804934647533644
DNAH1,0.24507773810166544
PDSS1,0.23966703924686467
PGAP3,0.22618343340293107
LRRC32,0.22540488922195112
NRN1,-0.2201641749539603
MTBP,0.20113018424917087
CACNA1D,0.19907326665738703
SLC15A2,-0.19658389741486118
PPP1R14A,-0.1950415899849965
CTSO,0.18707013542858594
TFDP1,-0.17224075552906729
MEOX1,0.16984122775403115
TCEAL1,-0.16975728358207204
UBTD1,-0.14990121213109353
EPHB3,0.1456091895367891
TMX1,-0.13393472502185852
ANKMY2,0.13327912702707556
CFB,0.13150013577198671
VGLL1,0.08735276834697804
ZNF462,-0.0823075516127166
CDCA2,0.08215035171628143
SCN4B,0.07940568696470195
SMC2,-0.07672156723579189
FBXO15,0.07298557754617598
ERGIC2,0.06732731284258134
DEGS2,-0.056657227459703564
PRRT3,-0.05533786813148321
CDK2,-0.04384657419849723
TOMM40,0.03758013397554533
GREB1,-0.020690643280844336
EPHA2,-0.014337937172890825
TP63,-0.0098167171332472
SLC43A3,-0.0070857033411877235
TOM1L2,0.002884513389176111
