GENE,COEFFICIENT
ANGPTL4,25.048300764821473
GLIPR2,23.54713263246912
RASA4,22.920292358093924
PGAP3,-22.86813460735331
KIF14,22.756289335011672
C3orf67,-21.05013921170536
CTSO,-21.03988081127657
PMAIP1,20.670785972157038
CDCA7,-20.341595179704594
PHYHD1,20.096780058446686
DZIP1,-19.155242260030022
NUDT4,18.61485838662242
BCAS4,18.55505577536915
TSPAN13,18.333780082443994
DBNDD2,-17.529809265128012
E2F8,17.468076938557193
FAM89A,-17.222259459885024
ZMAT1,-17.039057598823486
ROR2,-16.893562976238147
PREX1,16.753024045565642
LY6D,16.58522236903749
CDC45,-16.474932905149814
POLQ,-16.354247747154268
DNM3,-15.736581898762699
FANCE,-15.724107402768258
RASSF4,-15.72165266119039
TBC1D9,-15.004261700250455
RHBDF2,-14.852583769304813
NOSTRIN,-14.852459848453613
CDK18,14.739441631891316
CNTNAP3B,-14.719488721140591
RYR1,14.680526465283368
RRM2,14.610171448248732
CPEB4,14.488988060013979
LMNB1,-14.187769550716313
ALDH1A3,14.161673906550808
TMPRSS2,-14.113294943375868
KIF2C,14.093844568728892
STC2,13.888586771744812
SIRPA,13.777467935608207
SPC25,13.771148901693595
BLM,-13.478513039515496
F10,13.363211609791085
MEOX1,-13.32098569270104
KIAA1324L,13.115435004172408
LYPD6,-12.971877232600992
BCAS1,12.955157309888952
TSPAN8,12.953494476048961
PSME4,-12.74681128062945
C16orf71,12.710962396644291
CHEK1,12.646080169697843
GABRP,12.644180839864523
CCDC74A,12.607082727745297
PTPRZ1,-12.594082177273405
CDCA3,-12.5741632314985
TFDP1,-12.499670894843133
FUT8,12.246719401550271
ARHGAP11A,12.22555495797544
PRRT3,12.162950810474307
IL17RD,-12.09126534669335
GSDMC,11.988481712571641
TMCC2,-11.897405915010877
SKP2,-11.880733097451078
C9orf152,-11.794228448622517
NCAPG2,-11.784893989456624
RAB11FIP3,11.740073954069896
ALDH3B2,-11.649656590218596
FXYD1,11.553515083994064
LDHB,-11.540710219189778
TTC6,-11.523518081186412
CDK12,11.51518190186406
SERHL2,11.489074107958995
NTRK2,11.348349597685312
WFS1,-11.33146081793837
FAM83D,-11.256569519893763
NAT1,-11.174142221005846
FAM171A1,11.161763192264504
TPRN,11.132016274883618
LRIG1,10.948378801382924
SPRY2,10.942852687117284
RABEP1,10.811847180977336
CA12,10.717757314644496
SERPINB5,-10.715533443824299
WDR86,10.694764890870276
PLK1,10.632443016866706
UBE2T,-10.579275115845867
PKP1,-10.32616373285235
FCGR3B,-10.25547240685804
CCNB2,10.162280404877713
TRPM4,-10.161802407220478
KLHDC1,10.083771434036406
SOSTDC1,10.082269893587066
RCC2,10.076365565963284
ZNF703,10.024972920397406
NUSAP1,9.923205768818704
CDC20,-9.791859527147864
ADAMTSL5,-9.780796879215606
PRKX,9.715964147340195
PSAT1,-9.688885347931226
KCNG1,-9.678644038560906
CABIN1,-9.675328379099055
ZDHHC3,-9.538886214020504
RND1,9.520794941667319
ORC1,-9.450729208284674
CYP39A1,-9.423575227370735
ADAMTS15,-9.395159337605856
PAX9,-9.388954606159045
MYBL2,9.385807924355335
ORC6,9.384242517352417
GRB7,-9.382745214134163
IGF1R,-9.308045530886773
CCNE2,-9.306801143634413
DIAPH3,-9.2599149642213
B3GNT3,9.2102332809455
N4BP2L1,9.19732470935508
CDK2,-9.176616579231453
TOMM40,-9.100235112791072
FERMT1,-8.858111650676175
GREB1,-8.799406449449396
GPD1L,8.787918647781366
OVGP1,-8.751527654246672
ZFP36,-8.742855855587816
ASAP2,-8.723632409077998
FGFR3,-8.699039876186474
WDR66,-8.64582085079502
CYYR1,-8.585240457911885
YWHAZ,8.583753530794556
B3GNT5,8.513525382013723
SCCPDH,-8.474784915260793
DGKD,-8.42029498507075
BUB1,-8.39467949299977
PHOSPHO2,-8.383157932063682
MKI67,8.359820438636019
KCNJ11,8.320786593055654
SMC2,8.233846249277702
PM20D2,8.198623391751635
TCP11L1,8.162988715351311
ST3GAL3,8.032143014974022
ARSG,8.030008069316002
ATAD2,-7.975799116495015
GADD45B,-7.959028312599057
MCM10,-7.917095458720869
SELP,7.896632200252624
NCAPH,-7.894934496077713
FOXC1,-7.8847078218436195
REEP6,-7.722270233340585
C20orf96,7.683652847358467
SLC22A5,-7.683603081750579
GMPS,7.662753666386934
RACGAP1,-7.649398916573476
DIO2,-7.629590102610157
MAD2L1,-7.599061690882696
ME1,-7.580974143104273
KRT5,7.50528370955588
ELOVL2,7.376444077996907
OSR1,-7.277435782604394
CENPA,7.2716210810958755
CENPH,-7.191650562210674
PINK1,-7.074755672577045
BBOX1,-7.020507433345217
PSMD12,-7.007683661678959
INPP4B,7.000744423116506
TGFA,-6.990054299232386
KIF18B,6.944320574093066
ITGB8,6.8248469717377
TGFB3,-6.77291180483306
EPHA2,6.678444301636283
AKR1E2,6.651049406613009
KIF15,-6.504116651490931
UBASH3B,-6.495127839043909
TRIM2,6.457906342297207
CMBL,-6.445756641574937
F3,6.445261982953585
ABLIM3,-6.422815912900091
TTLL7,-6.420143357159338
H2AFZ,-6.406610646932656
PRODH,-6.396683287756557
ABHD6,6.370772468267853
PPP1R14A,-6.340604216910294
TNXB,6.318350983132106
HLA-DPA1,6.297069309837411
KIF20A,-6.282250119696552
PTK7,6.264867257138046
KIF3A,-6.255994187261228
RAD51,-6.2026162359982955
KIF11,-6.181135579830842
SPAG5,6.17081322067683
SPDEF,6.14362792555713
IQGAP2,6.095039644369454
AURKA,-6.061846247734925
TSPAN15,6.058916643778726
LRRC32,6.008175988744897
CDC6,5.99218576037418
SPEF2,5.970426460640979
RGS11,-5.959636406645938
TTYH1,5.941162232616913
CCDC24,5.890376783839641
PAK1IP1,-5.839274373406126
RPS4X,5.817511345085014
MAGEE1,-5.796804339459883
FSCN1,5.77421028965241
PRR15,5.754728933497471
FGD3,5.740881958187465
MSX2,5.717767812810209
ZNF883,-5.688720526233185
ANXA9,-5.657520195558837
AURKB,-5.639679111291154
E2F1,-5.576429572900318
FBXL5,-5.559246864743061
DNMT3B,5.535048943804677
ERRFI1,-5.4568791218145485
IGSF9B,-5.450291495995242
DCAF13,-5.423265506853089
NCOA7,-5.408160090253942
TP53INP2,5.390726843144918
DALRD3,-5.388538259015556
DSCC1,-5.3573866159571
TLCD1,-5.341927351627462
PPIL1,5.286086324148069
ZNF516,-5.235064608515816
RGMA,-5.23218923885246
MLPH,5.203537807360505
KRT16,-5.1939360493565925
ERGIC2,-5.193376694152856
SLC7A5,5.181277475522728
RALGPS2,5.179907501754526
FANCA,-5.102660648862268
ARHGAP11B,-5.066663402246281
CSRP2,5.050879864674551
TRPV6,5.049098797581916
HSPB6,5.00214497680983
EPHB3,4.967134266495933
CHRNA5,4.964628558249673
AZIN1,4.921505726784658
AGR2,4.814198620834604
RARA,4.805576308210716
LIMA1,-4.797647173566218
KRT17,-4.7889294605848844
TTK,4.775586122987138
MIPOL1,4.754540767876731
XBP1,4.749976487651419
DNALI1,4.681418533010123
LASP1,4.635172180512914
GTSE1,-4.631450372822752
ESF1,4.623225441210545
IL34,4.58550544498202
ACOX2,-4.566336822505846
ENO1,-4.56532617786782
SEL1L3,-4.539402455627275
SOX13,-4.528587247523881
CDC25B,-4.483924742202467
TOM1L2,-4.44912036895889
AARS,-4.440936356223892
SUSD3,4.424920359277
SLC39A6,-4.414831566025602
TTYH3,-4.410258523032636
CBLC,-4.345198768655698
WDR76,-4.3421978318528165
SLC15A2,4.268048193990914
ACAT2,4.267065635239393
SNRPG,-4.259108486308478
CENPE,-4.250165092395344
TROAP,-4.241817568465391
ZNF367,4.134401251849823
IVD,4.109426422698415
PDSS1,-4.093184680526013
SERPINA3,-4.03888135540833
LEMD1,-4.020234593319747
ERBB2,3.9508935381365924
CX3CR1,-3.945718650614336
ATP6V1C2,3.8768754114525286
PALM,-3.8752888465407183
NEIL1,3.858640557620213
MAGED2,-3.8346686556469867
UCK2,-3.810686840679535
THSD4,3.8005981029766773
TMEM88,3.7547418027640127
PARP11,-3.754098989011235
ATP7B,3.749699283951066
CYCS,3.737954193725242
CXXC5,-3.73237413927645
OIP5,3.682493725423081
CDCA8,3.6768391182292683
ERGIC1,-3.6762464430590893
KCNK15,3.673718055082231
DDC,3.662461499231105
MYB,-3.658487507956735
ZNF462,3.6333550238672507
TYMS,3.6198687306294826
DLGAP5,-3.6073138185044935
MICAL3,-3.600572057250408
SHC2,3.5977845403100868
C16orf45,-3.591375043832289
GLUD1,-3.570752453913394
IFT80,-3.5697671348767646
C2orf40,-3.5251104843250674
ARHGAP39,3.5097492532586076
NUDCD1,-3.490711275257729
GBP5,3.4847466677138224
SLC25A35,3.465783410963514
HEY1,3.430356787020474
ASPM,-3.3865544946493333
CHST2,3.3790065119025767
ARL4C,3.3267276523565616
RIN3,3.292669725190603
DMXL1,-3.267975093652747
TPX2,-3.245699776900212
ZNF568,3.2391893150585327
CCT5,3.2223427386335
IGF2R,3.212671458010908
CFB,-3.2081380049083927
RHOB,3.199516549348368
UCP2,3.198764147256995
RTN4R,3.191177584665305
3-Sep,3.1818272131115455
CCDC74B,-3.1491890875234865
TPI1,3.1268575637278118
FBXO15,-3.0673456381564987
PAIP2,3.0617511962485295
CXCL1,-3.06088117575597
AKR7A3,3.0587515243824246
BCAM,3.0556413512649003
MNX1,-3.0443628136020453
BCL11A,-3.033721672563382
MEIS2,-2.9922199774407834
MELK,-2.9895923316889204
SLC25A13,-2.964764430556922
SCN4B,2.9605022474951643
CYB5A,-2.952680405699428
ECE2,2.926865859770991
COL7A1,2.926862001389502
NUF2,2.9073549091835744
HES6,2.8989804162676713
SLC7A8,-2.8938771562897188
FAM20A,2.886923428833848
KLK8,-2.8624961879141937
FADS1,-2.8346637777499044
RUNX1,-2.830894367876765
ELOVL5,-2.815303700937464
DEGS2,-2.811099639809009
DACT3,2.810357341706415
AKR1C3,-2.8064325918172988
CHST3,-2.7913789917379206
CLSPN,-2.7891186474979954
TMX1,2.743864872053957
MCM2,2.7127002024032376
CA9,-2.7033658987265596
PROM1,2.688053409369267
TUBA1B,-2.679844803872469
UGT8,-2.6633548479935345
SLC27A1,-2.660530578638636
STMN1,-2.6429624895440074
L3MBTL4,2.6377646636515566
AR,2.6357204717059712
COL14A1,2.6177965284753872
NCAPG,-2.615767132669876
CHRD,-2.5857727640779817
EME1,-2.5750740308888975
TRIM3,-2.562016640129687
TPCN1,2.560086629439449
ZWINT,-2.5324061748427193
ABL1,2.4972520294956597
DHRS2,2.4814412479712518
FBXO36,-2.47784012543178
ADCY4,-2.471576707790267
BIRC5,2.456626172826968
CACNA1D,-2.4207556448152228
PADI2,-2.4184279312490493
CENPI,2.4145462698501956
FASN,2.4048104072861194
RASL11A,-2.3715488963095472
UBXN10,2.3693801924579287
UBE2C,-2.3681052437658683
TOP2A,2.3257235712474014
TRIM29,2.261142441376744
TMPO,2.205794352505681
EPB41L5,-2.173675108145547
PRRT2,2.156141387172141
KRT14,2.142840068980844
PERP,-2.140644380903505
CAPN13,-2.1192592665728873
CCDC103,-2.0986962276635146
XPOT,2.0943106802031415
NRN1,-2.0936034486518764
GPM6B,-2.0882924706398107
ULBP3,2.0570690624235595
CHEK2,-2.054427565941524
LAMC2,-2.0340644002648323
EXOC6,-2.0299531287252286
SFRP1,2.025715392985327
DEPDC1B,2.0003080229394055
SLC44A4,1.9908491378302315
HLTF,-1.964906950154312
CLSTN2,-1.950348521558442
FAM102A,1.9433572354041577
PLK4,-1.885521982777427
APP,-1.8717397319469085
AFF3,1.8471739964269158
MYH11,-1.8060544463777901
ZMYND8,-1.7938562055280525
TIMELESS,-1.781192239447147
CARD10,1.769905196946731
C9orf116,1.7543289183653183
CEP55,1.7485512814129953
LRRC56,-1.7205584445783264
GAMT,1.7005463018205687
TCEAL1,1.6831098177494868
FOXA1,-1.6413109090191826
KIAA0040,1.638585721392621
ZBTB4,1.6373713469902362
MCM4,1.6332490725730162
GATA3,1.627154730188731
GSTP1,1.5988677339561683
RSPH1,-1.5981605048349827
PSMG1,-1.5924401015845548
SHCBP1,1.5657103796650993
MAPT,-1.541931957964225
SALL2,-1.5403427652291346
IGF2BP2,-1.5360723126574103
CCNA2,1.5176132270743061
VGLL1,-1.516521167744066
BMPR1B,1.5102659304157622
SIDT1,1.5091569197155597
KDM4B,-1.4949714500247233
FAM72A,1.4683753826351924
IQGAP3,1.4654144581549682
FAM72D,1.4112397171577926
DNAH1,-1.409993450085807
RTN4RL1,-1.3945638309442414
WDR77,1.3735504430049825
ESR1,-1.37316556565018
ZMYND10,1.35866562324947
GINS1,1.358076830468682
CDC25A,-1.3384694490482065
CDKN3,1.3280244091995095
